instagram_comments,offensive_language,offensiveness_levels,hate_speech
Fale o que tem certeza que vai ter resposta pautada para o bem,0,0,0
"Quantos likes pudesse dar nessa foto, eu daria! ❤️❤️❤️❤️❤️❤️",0,0,0
Não conheces amor filial???,0,0,0
Este senhor é um comandado pelo louco que se diz economista e demais e ninguem faz nada,1,2,-1
"Cabra safado, escroto.",1,2,-1
Será que o nosso próximo presidente será um vegano?! 💚🌱💚🌱,0,0,0
"Carta capital , revestinha de banca, sórdida!",1,1,-1
"Ele só fala besteira, idiotice ou porcaria 😡😡",1,1,-1
"Ele sempre foi um monstro. Sempre humilhou pessoas. Sempre foi um péssimo empresário, um empregador desleal e injusto. Já deveria ter sido banido há tempos. Faustão não é muito melhor. Temos a pior televisão de todos os países.",1,2,-1
Sobra para o pobre foda se,1,2,-1
Fiquei emocionada,0,0,0
Afinal isso é crime ou não é????,0,0,0
Nenhuma dúvida!,0,0,0
"Conta outra todo mundo sabe que o Lula roubou , o PT e seu s puxadinhos roubaram, vc e seu marido roubou os aposentados, chega, vira o disco",1,2,5
Meu presidente e Bolsonaro. Apoio vcs SEMPREEE💚💚💚👏👏,0,0,0
Nojento,1,2,-1
"O que fortalece mesmo à esquerda é: pessoas consideradas braço direito do Presidente, fazer o que fazem. Isso sim da pano para manga. O resto é desvio de assunto: Delação Palloci denúncia de pagamento de R$ 500.000,00....",0,0,0
Nojentos 🤮🤮🤮🤮,1,2,-1
Parabéns meu querido Haddad. Você é tão capacitado e inteligente...#HADDADMEUFUTUROPRESIDENTE,0,0,0
"Quebraram a Placa de Marielle ao Vivo e a Cores, a Televisão Filmou, TODOS Assistiram, NINGUÉM fez Nada e os caras firam Eleitos, Agora Isso !!! Realmente, é um Túnel SEM Luz no final 😭😭😭😭😭",0,0,0
Misericórdia e compaixão deles populismo sem precedentes. Só roubaram pelos quatro cantos do mundo,1,1,-1
"Falar menos, agir mais",0,0,0
"Isso é repugnante, haja estômago para engolir esse tipo de gente mal amada que nojo...",1,2,-1
Um homem de Deus... Desculpa Deus!,1,1,-1
@ericac_blanco ela é muito forte,0,0,0
Só lixo,1,1,-1
Estamos juntos Haddad 👏👏👏,0,0,0
Parabéns professor maravilhoso 👏👏👏,0,0,0
Essa menina não tem família...desde pequena sendo induzida a falar bobagem,1,1,-1
Descobriu a pólvora!!!,0,0,0
Força! Estamos juntos. O povo está do lado do bem!,0,0,0
Haddad será nosso Presidente 2022👏👏👏👏👏👏👏,0,0,0
"Essa fedelha se acha, vai brincar de boneca 🤢🤢🤢🤢🤢🤢",1,1,-1
🤡💩☠️fora Bozzolóide,1,3,5
Esta revista é podre. Só os ratos dos esgotos mais imundos a leem,1,2,-1
"Patrocínio da esquerda internacional , não tem fim a verba.",0,0,0
"Muito merecido, ela é linda demais!👏👏👏👏👏",0,0,0
👏👏👏👏👏👏PARABÉNS FACHIM,0,0,0
Viva Freire!!!!,0,0,0
@fernandohaddadoficial tbm quero ser entrevistada😍,0,0,0
"Normal, o fato de ser negra contou muito",0,0,0
Foi tudo em um piscar de olhos.,0,0,0
😂😂😂😂 Ele doente deveria está no hospício,1,1,-1
"A grande destruição ambiental no Brasil ocorreu principalmente durante os anos que a europa nos colonizava e hj europeu vem nos dar lição de moral, isso é um grande hipocrisia. Deixando claro que votei em Haddad Nordeste13",1,1,-1
Velho podre,1,2,-1
Oba! 😍 👏👏👏,0,0,0
Que pesadelo!! Que desgoverno! Que lixo este bolsofake!!😢😢,1,3,-1
Vcs são perfeitos,0,0,0
Boa!!!,0,0,0
Já começou atacar???,0,0,0
Absurdo,1,1,-1
Valeu seu analise.,0,0,0
"Cara, eu era esquerdista quase doente até dois anos atrás. Até o dia que notei que meus amigos mais cultos e inteligentes estavam todos ficando a favor de Jair bolsonaro. Foi quando decidi pesquisar por mim mesmo as notícias, os fatos, etc. E descobri que a mídia distorcida quase tudo que seu pai falava. Corri atrás mais ainda, descobri a verdade por detrás do jogo, convenci numa família inteira a ficar do lado do seu pai, e hj somos 100% bolsonaro. Cara, eu odiava seu pai. Na moral. Pra vc ver como o jogo sempre pode mudar. Fiquem tranquilos. O Brasil está abrindo os olhos e a grande mídia não nos engana mais. TMJ até o fim! ✊✊🇧🇷🇧🇷🇧🇷🇧🇷",0,0,0
Greta! ♥️,0,0,0
"Chega ser nojento,",1,2,-1
Eu estudo lá e posso te garantir que tem!,0,0,0
O que adianta o veto presidencial??,0,0,0
Isso é uma palesma RIDÍCULA... ESSA.MULHER É UMA PIADA KKKKE SE ACHA COM ESSA VOZ FORÇADA. R I D Í C U L A!!!!!!!,1,2,-1
Parabéns aos pobres de direita😒,0,0,0
Lindíssima 🥰,0,0,0
Sujeito ridículo.,1,2,-1
"Para de progudicar o governo parem de botar leinha na fogueira, so demora afala mas quando falam sai fais por todo lado !!!",0,0,0
Assim coração num guenta💜,0,0,0
Hahahaha. Sofrendo porque não pode fazer nada a respeito. Que se foda.,1,2,-1
A esquerda pertence ao diabo,1,2,5
Absolutamente certo É dar fogo para o inimigo,0,0,0
Grande Haddad . Grande Ministro. Sergipe agradece.,0,0,0
Prezado meu pai dizia “ das palavras q falo sou escravo das que penso sou rei “! Por favor escreva 2000000vezes pra nunca mais esquecer e não prejudicar mais o nosso Presidente em quem confiamos !,0,0,0
Pastor do demo,1,1,-1
Joice sou seu fam 100%,0,0,0
Parabéns!!! 👏👏👏,0,0,0
É o Brasil rumo à civilização!,0,0,0
Bravo!,0,0,0
"Carta Capital!!!! É lixo!! Escrotos, Mal Amados, Vagabundos, Ordinários, Salafrários, Dementes, Demônios...e ficaria o dia todo escrevendo sobre vcs seus fdps #cartacapitallixo",1,2,-1
PT roubando o país inteiro!!,1,1,5
Meus ídolos juntos.❤️❤️❤️❤️❤️❤️,0,0,0
Esquerda UNIDA!!!!!,0,0,0
Aperta o 17 pobre de direita!,0,0,0
O peso dessa foto.. 😍,0,0,0
Meu futuro presidente,0,0,0
"Ridículo, depois de velho se presta a isso",1,1,-1
Aí meu coracão não aguenta❤️,0,0,0
processo nessa gentalha fascista!,1,1,-1
"Joice, vc ta pior que a pirralha",1,2,-1
"Deputada isso é tão pequeno que me assusta a Senhora ficar dando destaque, vamos nos preocupar com o país.",0,0,0
SENSACIONAL!!!! 💪🇧🇷 Domingo estaremos na rua!!!,0,0,0
Aí siiiiimmm. Gostei.,0,0,0
"CHEGA DE VITIMÍSMO, ELA TÁ SENDO USADA PELO SISTEMA, AS FALAS SÃO SEMPRE AS MESMAS KKK COISA DE ESQUERDA NÉ INFLADO SEMPRE ÓDIO... APESAR DE ALGUNS ERROS O HOME É FORTE MESMO, CONTINUA LEVANTANDO ALGUNS VERMES ATÉ LA DE FORA DO PAÍS...",1,2,5
E essas mulheres rindo????? Credo,1,1,-1
Isso é uma jumenta,1,1,-1
Isso não passa de uma mera oportunista! #michelebachelet #oas não passa de uma múmia esquerdista ainda em atividade minha querida @carla.zambelli . Obrigado pelas informações de sempre 🇧🇷💙,1,2,5
#DEPUTADADECEPÇÃOTRAÍRA,1,2,-1
A prisão do lula .só o deixou mais inteligente .leu vários livros 👏👏,0,0,0
Como eu queria um Colégio militar em cada cidade.,0,0,0
Patriota queimando a amazônia? Cristão apoiando assassino? A continha toda fechada. Covarde.,1,3,-1
"Pelo amor de Deus, cadê o pai desta criança não vai, fazer nada só porque o veio do sbt é amigo do bozo?",1,3,-1
Faço parte dos 50% otimistas,0,0,0
Estamos vendo que 💩 é a TIME afinal só olhar o dono. E como boa puxa saco de editor acha justo...precisa conhecer @boyanslat e entender o que é relevância de PERSONALIDADE EM MEIO AMBIENTE MUNDIAL!,1,1,-1
Bandidos legislando em favor próprio!,1,2,-1
"Benedita, você me representa!!!👏🏻👏🏻👏🏻👏🏻",0,0,0
#benedita,0,0,0
A 🐷 chora kkkkkkk chora ódio kkkkkkk,1,2,-1
"Parabéns professor, sucessos",0,0,0
"Continuo contra! Pode ser negra, polonesa, freira, macumbeira ou miss Piraquara. Sou contra!",1,1,-1
Absurdo VERGONHA!!!,1,1,-1
"Amém, o brasileiro precisa de emprego! Condições de trabalho, saúde, ensino e segurança pública de boa qualidade! Nosso povo confia em trabalhador pq a maioria é trabalhador! 2020 será um ótimo ano para quem gosta de TRABALHAR! 🙏",0,0,0
Esse nunca foi trabalhador,0,0,0
Ridículo,1,3,-1
Segue ai amigos @nataliagontijopsi,0,0,0
Parabéns! 👏👏👏,0,0,0
"Esses filhos foram criados dessa maneira, falando o que pensam. Esquecem que estão no comando de uma grande nação. Precisam todos eles pensar melhor antes de falar.",0,0,0
Nunca nem ouvi falar...pirralha q não sabe nada da vida...,1,1,-1
Vichi....CANALHA....#globolixo #globobosta #globonewslixo....#bolsonarotemrazao #somostodosbolsonaro #Bolsonaro2022,1,2,-1
Maaaano! Quero ver essa!,0,0,0
"Gente pelo amor de Deus,cadê as feministas que só serve pra colocar os peito de fora,porque a ministra não denuncia esse jornalista,ele a ofendeu profundamente,na verdade ele ofendeu nos mulheres,que absurdo como um homem pode falE isso pra uma mulher,ministra,se não começar a denunciar esses lixos,eles vão achar que pode tudo,eu me senti agredida com o que esse Leco escreveu.",1,1,8
"Um dos poucos q restam, em termos de justiça neste país...",0,0,0
Tenho fé a esquerda vencerá,0,0,0
Esse é incendiário,1,2,-1
Esse bostonaro desconhece a soberania e autonomia dos povos? Será que ele acha que os países civilizados apoiavam sua candidatura?,1,2,-1
"Ué, fazer o que? Vocês não se entendem. Vocês não precisam de inimigos de outros partidos para se queimarem. Já tô passada de tanta vergonha",0,0,0
Luladrão ! Canalha!,1,2,5
lindos d+,0,0,0
Não consegue falar nada que presta esse cara. Nada! Senhor!,1,3,-1
CANALHA ‼️👊👊👊,1,2,-1
"O respeito não faz parte desse partido, o PSL! Vergonha! Uma celebração terminar com desrespeito! Isso não pode! Punição presidente Rodrigo Maia!",1,3,5
O foco até tremeu com tanta beleza 😍,0,0,0
Some da mídia Joice Vc é ridicula,1,3,-1
Escrito!,0,0,0
Ninguém vai calar essa imundice?,1,2,-1
"Parabéns, você merece",0,0,0
"Deixe de hipocrisia, comedora de propina.Você deve tá sentindo falta é do dindo que não está caindo mais na sua conta.",1,2,-1
Esses caras falam demais e só atrapalham,0,0,0
"@fernandohaddadoficial O SENHOR SERIA O PRESIDENTE , MAS BONITO, DEUS ABENÇOE..",0,0,0
Esse cara trocou o lugar da boca pelo fiofó...,1,2,-1
"Sabe Dra Janaina, acho que só o mimadinho não sabe disso. Tonto de carteirinha!!!",1,3,-1
Não acredito que perdi... Deve ter sido um show de entrevista. Nadia Nagle 🌺 e Eduardo Bolsonaro🔰,0,0,0
Filha do demônio soros !,1,2,-1
A fonte secou! Não tem mais propininha!😂😂😂😂,1,2,-1
Eles não cansam de passar vergonha,1,1,-1
Que orgulho de ter votado em Fernando Haddad em 2018. Um dia direi isso ao meu neto.,0,0,0
Um bando babacas dizendo Deus no comando...Direita hipocrita e safada...,1,3,5
"Monstro, mercenário. Cadê os investimentos na saúde e educação q é direito do povo, onde enfia tanto dinheiro?",1,1,-1
Olha ai a hipocrisia dessa mulher,1,2,-1
"Um tem a cara do outro,dois vagabundos,que roubaram e afundaram este país. Dois caras de pau, ladrões...",1,3,-1
Oh lindeza da vida 😍😍😍😍,0,0,0
Não tente puxar a sardinha pro prato da Dra Janaína ... 🤭,0,0,0
A mãe da menina ainda Rir 😠,0,0,0
"maravilhosaaa, icone ecossocialista!! não se deve manter um sistema de crescimento infinito quando se tem recursos finitos e quase extintos.",0,0,0
"Orgulho do CPM, já estudei em um colégio militar no interior da Bahia, e os valores que a corporação passa para vc e sua família é algo extraordinário! 👏🏻 @bolsonarosp",0,0,0
Haddad é a esperança de um Brasil melhor.,0,0,0
Lula lá,0,0,0
🤮 nojo só de ver a imagem dele...,1,1,-1
"Eu não sei o que é pior, saber dos abusos do atual presidente ou ter pessoas ainda defendo uma cara desse! Sei não viu! Esse povo é doente! 🤦🤦🤦",1,2,-1
"Pessoal , vamos nos unir sempre. Kim e MBL são nossos aliados. A esquerda deste país se junta e não têm caráter. Ponto. A direita precisa ser firme. Um ou outro ponto poderá ser divergido. Normal. Conversem. DIREITA sempre. Unidos é que vencemos eles. Kim é um político honesto. Ele só precisa ter maldade. E sair do DEM. Claro",1,1,5
"se falar A ESQUERDA RECLAMA, se não falar A ESQUERDA INVENTA...bora esquecer essa esquerda DUZINFERNOS e trabalhar meu povo!!!",1,2,5
#bolsonarofdp,1,1,-1
É um verme racista,1,2,-1
"Acabei de ver um print dessa postagem com a seguinte legenda: Parece piada, mas é sério. Ele está comemorando a invasão da Polônia pelo exército da Alemanha de Adolf Hitler!!! A Polônia foi invadida pelos Nazistas em 1 de setembro de 1939, deflagrando a Segunda Guerra Mundial. Somente um fascista comemoria esta data. Aliás, Hitler sempre foi admirado por pessoas radicais, fascistas e de partidos de extrema direita. Ri e não foi pouco!!! 😂😂😂😂😂😂😂",0,0,0
A mim ela eh similar aquelas moças que ficam na rodovia que trocam serviços por $. Sem tirar nem por...,1,1,8
Falou nada demais,0,0,0
"É isso ai,Fachin",0,0,0
Tão maravilhoso ❤️❤️❤️❤️meu professor preferido,0,0,0
🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷Brasil acima de tudo e DEUS acima de todos,0,0,0
Meu sonho,0,0,0
Venceremos a direitalha. Não percam suas esperanças.,1,3,5
Poise os movimentos principalmente os feministas não falaram nada.,0,0,0
Vagabundo.do PSL.partido do Laranjal,1,2,5
"Parabéns, professor. Que pena você não ser nosso presidente!!!!",0,0,0
"E os votos dos Conselhos, perderam tb??? 🇧🇷🇧🇷🇧🇷",0,0,0
Feliciano é um dos políticos mais nojentos da atualidade.,1,1,-1
Não ia ser sem viés ideologico?,0,0,0
Filha de negros sou branca por capricho da natureza. Mas faço questão de gritar. NEGRA SIM! NEGRA SOU!,0,0,0
Quando era amiguinha do presidente não fazia essas coisas.,0,0,0
Da lhe Benedita da silva,0,0,0
Cadeia pra esse reporte de meia tigela.,1,1,-1
"Sr escroto, ja esta na hora desse Dinossauro se recolher pros aposentos dele em ORLANDO, onde vai gastar o dinheiro que ele ganha das jogatinas dele através do povo idiota, que compra os produtos de quinta que ele oferece.",1,2,-1
Sem palavras muito contundente,0,0,0
"Vc tá se fazendo de sonsa,vc sabe muito bem oque tá por trás da pirralha.",1,2,-1
EU AVISEI AOS BURROS E JUMENTAS QUE VOTARAM NESTE LOUCO 😂😂😂,1,3,5
E oque tem a ver se foi negra ou branca?,0,0,0
parabéns presidente e sua equipe que Deus lhes renove sua forças.,0,0,0
Quem manda eleger esses merdas!!,1,3,-1
"Essa só falta virar petista pq do resto já está igualzinha, lamentável 🤦🏽‍♂️",0,0,0
Toma distraída!!!,1,1,-1
"Fico pensando como povo se deixou enganar assim,e cada vez que ele tira alguma coisa de nós tem gente que ainda aplaude 😏🤢",0,0,0
Maldito desgraçado “pastor” de merda. Esse há de queimar no fogo do inferno que ele faz na Terra.,1,1,-1
Como sempre atrapalhando o teu pai. Nunca vi tanto filho atrapalhando o próprio pai como presidente da República. #calaabocaeduardobolsonaro,1,2,-1
Leda é maravilhosa!!,0,0,0
"Após a vitória de Kirchner na Argentina, a China injetará dezenas de bilhões de dólares na sua economia, vassalizando completamente aquele estado para garantir sua segurança alimentar, sobretudo no fornecimento de soja. O Brasil está cercado pelo Foro de São Paulo/Grupo de Puebla, a última cartada deverá ser mesmo a soltura do Lula para criar a crise perfeita.",0,0,0
É inacreditável!! Bando de vermes !!!!,1,1,-1
"PIRRALHA MESMO !!!!! NEM SAIU DAS FRALDAS, NEM SABE NADA DA VIDA AINDA ........ SENDO USADA...... QUE FEIO !!!!!!! 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷",1,1,-1
Segundo o Datafolha o Hadad era o Presidente.... 😂😂😂😂😂😂😂😂😂😂,0,0,0
Por isso que a educação está uma completa negação... Parabéns aos envolvidos,1,2,-1
E os médicos brasileiros formados fora nadaaaaaaaaa,0,0,0
Essa disgraça fala que é pastor..,1,2,7
Isto é muito grave! Onde anda as Leis?,0,0,0
"Vdd, a falta de entendimento discernimento empatia está destruindo pessoas...não permitem a reflexão.",0,0,0
Lula nosso futuro presidente 💜💜,0,0,0
Nojo define.,1,1,-1
"Desanimador, está difícil acreditar num Brasil melhor😭😭😭",0,0,0
"Vocês ainda não entenderam a extrema esquerda revolucionária você falando ou não, fazendo ou não, produzindo ou não, atacando ou não, se defendendo ou não, eles querem o poder acima de tudo, onde o fim nustifica os meios. Vão atacar violentamente e sistematicamente tudo aquilo que está fora dos interesses do partido. Isso é um fato histórico. Só no Brasil que enxergam a esquerda como um partido, quando a história nos prova o contrário. Não é uma questão de dar munição para o oponente, e sim, de sobrevivencia em meio a uma máfia política criminosa que tomou conta o estamento burocrático brasileiro, que se preciso for, mandam matar. Alguém ainda tem dúvidas?",1,2,5
@vini_mcfly e todo mundo concentrado em quem está certo... Sigamos! Plunct Plact Zum,0,0,0
👏👏👏🇧🇷🇧🇷🇧🇷Esse verme tem que voltar pra cadeia !,1,3,-1
"Já deu pra globolixo,tá na HR de se aposentar,e deixar o jornalismo pra pessoas q querem da notícias verdadeiras,já nem assisto jornal da globolixo,a tantos anos sendo enganados por notícias mentirosas q cansamos.",1,3,-1
"MEU DEUS É TUDO QUE A ESQUERDA QUER,... PARA DE FALAR MERDA FALA O QUE DEVE SER DITO AJUDA O PAI!!!!!...... E NAO A FUDER COM TUDO CARAÍ.. DA RAIVA.....",1,3,5
Parabéns!!👏👏,0,0,0
Triste,0,0,0
STF uma vergonha nacional #intervençãomilitarjá,1,1,2
"Nem eles (STF) conseguem mais ser complacentes a tanta falta de vergonha na cara! LULA É PESO MORTO! JÁ ERA! É O PRÓXIMO PC FARIAS! O cara é uma arquivo ambulante! Se abrir a boca, metade da classe política vai pra cadeia... Se não for bEEEEm mais!",1,1,-1
Deus é contigo @damaresalvesoficial1 . Isso é o cúmulo do absurdo,0,0,0
Tamu juntas Damares. Tu é forte 🙌,0,0,0
Tem que ir para a cadeia!!,1,1,-1
#ForaBozo,1,1,-1
Nossa uma deputada sem conhecimento que eram descontados das férias e do décimo se informa que fica feio,0,0,0
🤣🤣🤣🤣🤣GLOBOLIXO,1,3,-1
Demorou pra colocar esse ser na cadeia novamente,1,3,-1
A maioria dos canais vão sair fora do ar,0,0,0
#stféumavergonhanacional,1,3,-1
Joyce dá uma força para o Brasil p**** tu tá fodas,0,0,0
💩💩💩💩💩💩 desgraçado,1,3,-1
NAZISTA SAFADO FILHO DA PUTA! VAI DOUTRINAR CRIANÇA NA PUTA QUE TE PARIU,1,3,-1
Benedita como sempre!!!!! Arrebentando!!!!👏👏👏👏,0,0,0
BOLSORATO,1,3,5
"Ontem não consegui assistir, hoje quando vi o resultado Amei fiquei emocionado 👏👏👏👏👏",0,0,0
@instadabene Não decepciona l! Bene prefeita do rio,0,0,0
Muito sensata Janaina Paschoal concordo plenamente eles da falas de der argumentos ai fica difícil...,0,0,0
A globo então deveria ser presa por divulgar um monte de fake news,1,2,-1
Mas nenhum presta que barbaridade .,1,2,-1
Tranqueiras......,1,1,-1
Considere o veganismo! Por favor!🙏🙏🙏🙏,0,0,0
Seu ódio só esta fazendo você fazer besteira 👎👎👎👎👎,0,0,0
"Acho que não vou nem dormir hj, preocupado com essa pirralha, vai fazer algo proveitoso e esquece o Brasil. Joice para de dar mídia pra essa sem noção.",1,1,-1
E um crime,1,1,-1
"Tudo é uma questão de interpretação, nesse caso quem interpretou a fala tem interesse em denegrir a família Bolsonaro. E qualquer coisa que ele fale, vão sempre distorcer, porque são contra o governo. Não querem entender isso?",0,0,0
Torcendo por vcs e esperança em um Brasil nos trilhos novamente 🙏🏻,0,0,0
"Tenho certeza que por pior que esteja por lá o povo Argentino saberá cobrar seu governo, não será necessário trocar um governo ruim teoricamente por um péssimo exatamente.",0,0,0
Vem quente Lula. O Brasil está fervendo!!!,0,0,0
Carla té desejo muita saúde para aquentar . Mais uma coisa é certo. DEUS está nó controle.,0,0,0
Crianças assediadas mais uma vez,0,0,0
Vc é especial👏👏🇧🇷👍🇧🇷,0,0,0
LADRA,1,2,-1
Este povo do PT são uns FDP..,1,2,5
"👏👏👏👏 Bolsonaro tu continua fazendo essas maldades, o povo brasileiro gosta você foi eleito pra isso pra fazer essas maldades, você Bolsonaro só não teve o meu voto, mas teve a chancela do povo brasileiro pra fazer isso continue Bolsonaro o povo te ama",0,0,0
Educadores que amo 😍,0,0,0
"Vcs não está ajudando em nada,fazendo suas Criticas ao governo e postando em redes sociais. Se vcs quer resolver as coisas da melhor forma,faça tido em OFF, assim não expõe o partido",0,0,0
Honra merecida.,0,0,0
👉👉👉Deus existe!🙏🙏🙏🙏🙏,0,0,0
"Esse enbuste de satanas nao morreu e quer matar o trabalhador , inseto repuginante",1,1,-1
Pirralha,1,1,-1
De arrepiar,0,0,0
não e novidade . pessoal que nao vale nada . 💩💩💩💩,1,3,-1
pirralha do ano kkk,1,1,-1
Glória a Deus pela sua recuperação João Gordo!!,0,0,0
Não consigo entender...o porque que esse homem zomba na cara da justiça e dos brasileiros do jeito que ele faz....dá nojo esse tipo🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮homem irritante...sem noção esse lula ladrão,1,3,5
Estou feliz muito confiante nosso presidente está remodelado o Brasil!🙏🏻🇧🇷👏🏻👏🏻,0,0,0
"Tá feio.mesmo, e eu era sua fã. Lhe admirava muito. E agora?",0,0,0
"Fiz bem em votar em te. Valeu o meu voto, mesmo que não ganhaste. Mas votei , em pessoa de bem. Votei em um professor com eu. E votaria outra vez.Feliz Natal.",0,0,0
Meu Presidente,0,0,0
Essa pode confiar e perfeita Leda 👏🏻👏🏻👏🏻👏🏻perguntas de nível da inteligência e não da fofoca🇧🇷,0,0,0
"Parabéns para esta belíssima mulher, lindaaaaaaaa",0,0,0
Existe violencia com todo mundo e nao somente contra mulher... violência eh violência!,0,0,0
Bando de imbecil!,1,3,-1
Agora estou feliz!,0,0,0
Melhor Presidente da História do Brasil. 👏👏👏👏👏,0,0,0
Isso é um nojento. 🤮🤮🤮🤮,1,3,-1
Parabéns e OBRIGADO!,0,0,0
"De o nome desse imbecil, machista ,nojento, babaca 🤮🤮🤮, Sra MINISTRA, para q todas nós mulheres possa encher a caixa de mensagem dele de boas postagem esse jornalista idiota merece conhecer a força das mulheres. 🤬😡",1,2,-1
"Pensei que eu era crazy até conhecer o bolsofurado e os bolsofãs dele, sou mais sã do que eu gostaria....",1,1,5
Vagabunda! Joice safada!,1,2,8
#globolixo,1,1,-1
Exatamente só fala merda ....,1,3,-1
Carla boa tarde! O Facebook proibiu eu compartilhar links até quinta feira 18: 06 tudo que eu compartilho sobre vocês não consegui desde de manhã,0,0,0
Minha deputada do coração.,0,0,0
Marginal safado🇧🇷🇧🇷,1,1,-1
Lula tá preso babacas!,1,2,-1
Toma vergonha#redelixo🇧🇷,1,1,-1
"Eita, agora o meu coração pegou fogo 💟🔥",0,0,0
PPELO AMOR DE DEUS ALGUÉM CANCELA ESSE CARA! GENTEEEEE COMO PODE ALGUÉM TER VOTADO NESSE ESTRUME DE VACA PODRE,1,1,-1
Boa atriz grobal,1,1,-1
Bravo Bene👏👏👏👏👏👏👏👏👏,0,0,0
Hipócrita!!!! 🤮,1,2,-1
Chupa sua pistoleira,1,3,8
Ele já foi caduco....há uns 10 anos atrás!!agora tá passando dos limites total!!!,1,2,-1
Tenho orgulho dos colégios militares . Moro em Manaus . Meu filho estudou no Colégio Militar quando tinha 11 anos . Hoje ele é um homem de valores e princípios . Minha neta tá se formando tem no Colégio Militar e ama a escola . Com mto orgulho ! 👏👏👏👏👏💚💛,0,0,0
"Deputada @joicehasselmannoficial qual a contribuição da revista Times para nosso país? O atual presidente da república, @jairmessiasbolsonaro tem trabalhado para melhorar a imagem do país lá fora, a imagem de confiabilidade, que é a imagem que realmente importa. Trabalhando pela nossa economia e pela reconstrução do Brasil, e a revista Times, faz o que pelos brasileiros? Deveríamos valorizar quem trabalhar a favor do nosso país, e não valorizar quem quer ganhar espaço na mídia nos criticando a cada oportunidade, vamos valorizar nosso presidente, valorizar nosso povo, que afinal de contas, foi o brasileiro que votou para você ser deputada, e não essa tal de Greta",0,0,0
Certíssima ✋,0,0,0
rem esse idiota logo.,1,2,-1
Unidos com você Capitão. Avante Brasil nas mãos da Santíssima Virgem Maria🙏,0,0,0
Cadeia nessi mizeravel disgrasado que feis isso aí esse disgrasado estava aí si amostrando o dominador momtrando a todos nós negros incruindo eu um cara maldito esse cara estava demostrando ali naquele momento a guria dele comtra nois negros desse país,1,2,-1
"Ela não teve pena do Brasil quando Cuba ininteruptamente tentou interferir na nossa democracia. Amiga de comunistas sujos. Amiga de Fidel Castro, um rato ditador e assassino que hoje ocupa um cargo na ONU que não condiz com seu caráter e nem com suas convicções políticas.",1,2,5
B17/2022,0,0,0
Dois retratos do fracasso educacional do país!,1,2,-1
Parabéns Janaína!O que atrapalha nosso Presidente é a interferência irresponsável e ignorante de seus filhos!,0,0,0
A todos os BOLSOLIXOS QUE VOTAM NELE,1,1,5
"Esses Ministros abutres do STF, Se julgam acima de tudo e de todos.",1,3,-1
Na cadeia se fazia de coitadinho e abaixava a cabeça. Agora... Voltou o Lula Raiz. Medo desta turma hein?!,1,2,5
Lindos que todos abençoados e protegidos de todo mal em nome de Jesus amém🙌🏻🙏🏻🌹✨✨✨,0,0,0
Safadona,1,2,8
Foi lindo!,0,0,0
👏👏👏👏🔥🔥🔥🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷quem tá otimista sou eu Bolsonaro avança 🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇮🇱🇮🇱🇮🇱🙌 e milhões de brasileiros,0,0,0
COMUNISTA FDP,1,2,5
Ohhh! Que lindos! Adoro ambos! ❤️,0,0,0
Inacreditável mesmo!,0,0,0
"Joga uma carteira de trabalho que correm todos, na verdade não gostam de trabalhar só sabem roubar o brasil",1,1,-1
"Colégio militar deveria se estender pelo País: disciplina, Patriotismo, Cultura e ensino de qualidade!",0,0,0
"Eu não confio em nenhum desses ministros, não consigo mais, só de olhar eu 🤢",0,0,0
como eu gostaria q tivesse esse colégio em todo o Brasil. 💗,0,0,0
nunca vi um desmame tão difícil e complicado,1,1,-1
Não precisamos ficar vendo a imagem disso.,0,0,0
Respeitem aqueles que saem todos os dias de casa pra nos defender. Respeitem a policia brasileira.,0,0,0
Parabéns meus presidente ❤️,0,0,0
Preocupar com coisas reais e que irao impactar o futuro de todos nos principalmente o deles. Aqui nao eh questao de ideologia direita ou esquerda e sim de sustentabiki,0,0,0
Imbecil 🙄,1,2,-1
"Só mesmo o mentor Paulo Freire pra ensinar a escrever rascismo. Boa, ministro da educação da Pátria Educadora!",0,0,0
Ainda temos toga de respeito graças a Deus. Não podemos generalizar,0,0,0
"Nojo eu tenho de meleca, o q sinto por esse asno não tem nome😡😡😡🤮🤮🤮🤮💩💩💩💩💩",1,2,-1
Que nojo. 😔,1,3,-1
Lixo esses petzadas mais não adianta o Brasil e nosso,1,2,5
Quem dera que a gauchada retrógrada abrisse os olhos... Mas por aqui peão acha que é fazendeiro... 😢,1,3,-1
Maravilhosaaaaa. Amo Damares,0,0,0
Triste,0,0,0
"Aí Haddad, o que você acha do rascismo?",0,0,0
Bozó pirá,0,0,0
Estamos com vcs,0,0,0
Joice querida! esperava o que? desses aí?? todos pulhas!!!!,1,3,-1
Parabéns querido e competente Haddad! Medalha mais que merecida! 👏👏👐👐❤️❤️,0,0,0
Como um presidente faz esse tipo de comentário? Depreciando um estado 🤦🏼‍♀️,0,0,0
Racismo ditadura nunca mais,0,0,0
"Eu estou no grupo dos 50%, super otimista.",0,0,0
Parabéns,0,0,0
